연번,종목,명칭,소재지,관리자,상세페이지링크,분류,수량/면적,지정(등록)일,소재지(상세),시대,소유자(소유단체),관리자(관리단체),설명
222,국가민속문화유산,고창 오거리 당산(高敞 五巨里 堂山),전북 고창군,고창군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00140000&ccbaCtcd=35&ccbaCpno=1483500140000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,3기,1969.12.17,"전북 고창군 고창읍 읍내리 584-6번지 , 282-4, 878-1",조선 순조 3년(1803),읍내리마을,고창군,"고창읍 중앙동에 위치한 당산이다. 당산은 민간신앙에서 신이 있다고 믿고 섬기는 것으로, ‘당’혹은 ‘신당’이라고도 한다. 중앙동을 중심으로 동·서·남 방향의 상거리·하거리·중거리에 각각 1쌍의 당산이 있고, 마을 북쪽의 교촌리에 3기의 당산이 있다. 이곳에서는 각 쌍의 당산을 할아버지당, 할머니당으로 부르는데, 그 이름에 따라 외형을 구분할 수 있는 특징은 없다. 처음에는 당산 5곳 모두 자연석이었지만 풍수지리설에 따라 중앙과 남·서방향에만 기의 원활한 흐름을 위해 화강암을 기둥모양으로 다듬어 세웠는데, 이것이 국가민속문화유산으로 지정된 중앙동·중거리·하거리 할아버지당이다.

중앙동 할아버지당은 6각기둥 정상에 둥근 갓을 쓴 모습이다. 중거리 할아버지당이 서 있는 곳은 예전의 당산터로, 4각의 돌기둥 위에 네모난 돌갓을 쓰고 있다. 하거리 할아버지당은 동네소유의 넓은 당산터에 위치하는데 세 당산 중 가장 높은 돌기둥으로 역시 갓을 올린 모습이다. 이들 당산이 쓰고 있는 갓모양을 본 떠 ‘삿갓비석’, ‘갓당산’이라 부르기도 한다.

마을의 안녕과 번영을 기원하며 마을 공동으로 지내는 당산제는 매년 음력 정월에 지냈으나 지금은 없어진 지 오래되었고, 다만 뜻 있는 개인이 정성을 드린다고 한다. 각각의 당산에 새겨진 기록으로 보아 모두 같은 해인 조선 순조 3년(1803)에 건립되었음을 알 수 있다."
223,국가민속문화유산,남원 실상사 석장승(南原 實相寺 石장승),전북 남원시,실상사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00150000&ccbaCtcd=35&ccbaCpno=1483500150000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,3기,1969.12.17,전북 남원시 산내면 입석리 33-1번지,조선 영조 원년(1725),실상사,실상사,"장승은 민간신앙의 한 형태로 마을이나 사찰 입구에 세워져 경계를 표시함과 동시에 잡귀의 출입을 막는 수호신 역할을 한다. 실상사 입구에 있는 3기의 돌장승 역시 경계표시와 함께 경내의 부정을 막기 위해 세운 것으로 보여진다.

만수천의 해탈교를 건너기 전 마을쪽에 있는 돌장승이 옹호금사축귀장군(擁護金沙逐鬼將軍)이고, 해탈교를 건너자 마자 길 좌우에 2기의 돌장승이 마주보고 서 있다. 오른쪽 논두렁 가에 있는 돌장승이 상원주장군(上元周將軍)이고, 왼쪽의 괴목 아래 서 있는 돌장승이 대장군(大將軍)이다.

3기의 석장승은 거의 같은 모습으로 머리에 벙거지를 쓰고 있으며 크고 둥근 눈에 뭉툭한 주먹코이다. 윗 송곳니 두 개가 삐져나와 험상궂은 듯 하지만 입가의 미소가 순한 심성을 드러내고 있다. 길게 수염이 표시되고 몸체에는 좌우 각각 '상원주장군', '대장군', '옹호금사축귀장군'이라는 이름이 새겨져있다. 다만 수염이 반대로 향하고 있어 상원주장군과 대장군은 대칭적인 한 쌍을 표현한 것 같다. 대장군의 기단석(基壇石)과 상원주장군의 뒷면에 있는 기록을 통해 실상사 석장승들은 조선 영조 원년(1725)과 영조 7년(1731)에 세웠음을 알 수 있다."
224,국가민속문화유산,부안 서문안 당산(扶安 西門안 堂山),전북 부안군,국토교통부,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00180000&ccbaCtcd=35&ccbaCpno=1483500180000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,4기,1970.05.20,전북 부안군 부안읍 서외리 203번지,조선시대,국토교통부,국토교통부,"당산은 민간신앙에서 신이 있다고 믿고 섬겨지는 대상물이다. 부안 서문안 당산은 높은 돌기둥과 돌장승이 각각 1쌍으로 이루어져 있다. 돌기둥은 마을 밖의 부정한 것에 대한 침입을 막고 마을의 평안함을 위해 세운 솟대의 일종이다. 이 돌기둥은 각각 할아버지당과 할머니당으로, 할아버지 당산은 서문안 당산의 주신으로서 꼭대기에는 돌로 조각된 새가 얹혀 있다. 할머니 당산은 새를 따로 얹지 않고 돌기둥 윗부분에 새겨서 표현한 특징을 보인다.

돌장승 역시 남녀 한 쌍이다. 할아버지로 불리는 상원주장군(上元周將軍)은 탕건(모자의 일종)을 쓰고 수염이 있다. 할머니는 할아버지보다 조금 작은 모습으로 몸체에는 하원당장군(下元唐將軍)이라 새겨져 있다. 풍수지리설에 바탕을 둔 신앙물 중 하나인 이 돌기둥은 ‘짐대’라고도 하는데 이곳의 지형이 배가 떠있는 형상과 같아서 안정감을 주기 위해 세워진 것으로 보여진다.

마을에서는 돌장승 2기와 돌기둥 2기를 하나의 단위로 삼아 마을의 신으로 모시며, 매년 음력 정월초하루 자정을 전후해서 당산제를 지낸다. 예전에는 공동체의식이 강해서 마을사람들이 함께 모여 제사를 드렸지만 최근에는 몇 집만이 참여하는 것으로 축소되었고 이들의 위치도 보호관리상 할머니당산 쪽에 모아두고 있다.

서문안 당산의 돌기둥에는 조성 연대와 건립자를 알 수 있는 기록이 남아 있어 숙종 15년(1689)에 건립된 것임을 알 수 있지만, 돌장승이 만들어진 연대는 정확히 알 수 없다. 부안 서문안 당산은 보통 나무로 세워지는 장승과 솟대가 돌로 만들어지는 변화의 과정을 볼 수 있는 민속문화유산이다."
225,국가민속문화유산,부안 동문안 당산(扶安 東門안 堂山),전북 부안군,국토교통부,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00190000&ccbaCtcd=35&ccbaCpno=1483500190000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,3기,1970.05.20,"전북 부안군 부안읍 동중리 387-4번지 , 837-5, 2-3",조선시대,국토교통부,국토교통부,"부안 동문안 당산은 돌기둥(당산)과 돌장승 한 쌍(할아버지 당산, 할머니 당산)으로 이루어진 당산이다. 마을 밖으로부터 부정한 것의 침입을 막고 마을의 평안을 기원하는 의미로 세운 돌기둥을 중심으로 동쪽 50여m 지점에 당산나무가 있고, 그 사잇길 양쪽에 한 쌍의 돌장승이 마주보고 서있다.

돌기둥은 화강암을 깎아만든 것으로 그 꼭대기에 돌로 조각한 오리가 올려져 있다. 돌기둥 주변은 당산제에서 쓰인 동아줄로 칭칭 감아놓기 때문에 평상시에는 정상부분의 오리와 그 밑의 기둥이 약간만 보일 뿐이다. 당산나무 서쪽에는 몸체에 ‘상원주장군’이라고 새겨진 남장승이 머리에 벙거지모양의 모자를 쓰고 서 있고, 동쪽으로는 ‘하원당장군’이라고 새겨진 여장승이 서 있다. 여장승은 남장승보다 키가 크지만 모자는 쓰고 있지 않은 모습이다.

마을에서는 2년마다 음력 정월보름에 당산제를 지낸다. 새끼를 꼬아 만든 동아줄로 줄다리기를 한 다음 그 줄을 돌기둥에 감아 놓은 후 제를 올린다. 동아줄을 돌기둥에 감는 것을 ‘옷입힌다’고 하는데, 마을 전체의 복을 기원하고 농사의 풍요를 바라는 염원이 담긴 의미로 신앙물을 인격화 함으로써 돌기둥을 동제의 주신으로 받들고 있음을 보여준다. 돌기둥과 돌장승 모두 옛 모습을 잘 간직하고 있어 마을신앙을 보여주는 민속문화유산으로서 가치가 있다."
226,국가민속문화유산,남원 서천리 당산(南原 西川里 堂山),전북 남원시,남원시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00200000&ccbaCtcd=35&ccbaCpno=1483500200000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,2기,1970.05.20,전북 남원시 운봉읍 서천리 349-1번지,조선시대,남원시,남원시,"남원 서천리 당산은 당산나무, 돌장승(벅수), 솟대로 구성되어 있으며 마을의 수호신으로 모셔지고 있다. 남녀 한 쌍인 서천리 당산은 운봉초등학교 서쪽 500여m 지점에 마주보고 서 있고, 주변에 당산나무가 있다. 장승과 솟대를 함께 세워 제사를 지내는 것은 전라도 지방에 남아 있는 당산신앙의 한 형태로 원래는 이곳에도 솟대를 함께 세웠던 것으로 보여지지만 마을 중앙에 있었던 솟대의 모습은 사라지고 흔적만 남아 있다.

마을의 지세가 허한 곳을 방어하고 서쪽을 진압하기 위해 세웠다고 하는 석장승의 몸체에는 각각 ‘방어대장군’, ‘진서대장군’이라는 글씨가 새겨져 있다. 남자 벅수인 방어대장군은 머리에 모자를 쓰고 튀어나온 둥근 눈에 주먹코와 아래로 쭉 뻗은 송곳니가 있다. 가슴에 수염이 있으며, 귀가 없는 것이 특이하다. 여자 벅수인 진서대장군은 머리에는 벙거지모양의 돌모자를 쓰고 둥근 눈에 주먹코와 귀가 있다. 다른 여자 벅수에서는 찾아보기 드물게 속눈썹이 깊이 새겨져 있는 것이 특징이다. 이 석장승들은 만든 이가 다른 듯 벙거지의 제작형식이나 표현기법이 서로 다르다. 구전에 따르면 장승이 부부싸움을 하다 진서대장군의 목이 부러져 마을 사람들이 붙였다고 한다.

매년 음력 2월 초하룻날 밤에는 마을의 안녕을 위하여 당산나무에 제사를 지낸 다음, 석장승에게도 간단한 제를 지냈다. 서천리 당산의 제작시기는 정확히 알 수 없지만, 옛 모습을 잘 간직하고 있는 민간신앙을 보여주는 한 형태로서 가치가 높다."
227,국가민속문화유산,정읍 김명관 고택(井邑 金命寬 古宅),전북 정읍시,정읍시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00260000&ccbaCtcd=35&ccbaCpno=1483500260000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 주거생활 / 주거건축 / 가옥,"3필지/5,049㎡",1971.05.27,전북 정읍시 산외면 공동길 72-10 (오공리),조선 정조 8년(1784),김＊＊＊,정읍시,"김동수의 6대 할아버지인 김명관이 조선 정조 8년(1784)에 세운 집이다. 뒷쪽으로 창하산이 있고 앞쪽에는 동진강 상류가 흐르는 지역에 자리잡고 있어 풍수지리에서 명당이라 말하는 전형적인 ""배산임수(背山臨水)""를 이루고 있다.

건물들은 행랑채·사랑채·안행랑채·안채·별당으로 구성되어 있다. 대문을 들어서면 행랑마당과 바깥행랑채가 있고 바깥행랑의 동남쪽에 있는 문을 들어서면 사랑채와 문간채가 있다. 사랑채 서쪽으로 'ㄷ'자형의 안행랑채를 배치하였는데 그 앞쪽으로 'ㄷ'자 평면을 가진 안채가 있다. 안채는 좌우 대칭을 이루게 지어 좌우 돌출된 부분에 부엌을 배치하고 있는 특이한 평면을 갖추고 있다. 안채의 서남쪽에 있는 안사랑채는 김명관이 본채를 지을 때 일꾼들이 기거했던 곳이라고 한다.

소박한 구조와 건축가의 독창성, 조선후기 사대부 가옥의 중후한 모습을 대체로 원형대로 잘 유지하고 있어 건축을 비롯한 여러 분야의 좋은 연구 자료로 평가받고 있다.

※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
228,국가민속문화유산,고창 신재효 고택(高敞 申在孝 古宅),전북 고창군,고창군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=00390000&ccbaCtcd=35&ccbaCpno=1483500390000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 주거생활 / 주거건축 / 가옥,"7필지/1,097㎡",1979.01.26,전북 고창군 고창읍 읍내리 453번지,조선시대,고창군,고창군,"판소리 이론가면서 판소리를 집대성한 신재효(1812∼1884)가 살던 집이다.

철종 1년(1850)에 지은 것으로 짐작하며 광무 3년(1899) 그의 아들이 고쳐 지었다고 한다. 이 집은 소담한 초가집 사랑채로 보고 있는데 국가민속문화유산 지정 전까지 고창 경찰서의 부속 건물로 쓰였다. 지금 건물은 많이 개조되고 변형된 것을 국가에서 관리하면서 옛 모습을 되찾고자 다시 수리한 것이다.

앞면 6칸·옆면 2칸 규모에 '一'자형 평면을 갖추고 있으며 지붕은 초가지붕이다. 구성은 앞에서 볼 때 왼쪽부터 부엌 1칸, 방 2칸, 대청 1칸, 2칸을 합하여 통 1칸으로 만든 방으로 이루어져 있다. 부엌을 뺀 나머지 앞면 5칸은 반칸 툇마루를 두었다.

부엌과 방 사이에 쌍여닫이 출입문을 만든 점과 대청 양쪽 방으로 연결하는 문을 달지 않은 점이 특이한 구조로 눈길을 끈다. 현대 판소리의 고향이라고 할 수 있는 명인(名人) 신재효의 옛 집으로서 가치있는 자료가 되고 있다.

※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
229,국가민속문화유산,순창 충신리 석장승(淳昌 忠信里 石장승),전북 순창군,순창군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=01010000&ccbaCtcd=35&ccbaCpno=1483501010000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,1기,1979.01.26,전라북도 순창군 순창읍 남계리 966-12,조선시대,순창군,순창군,"석장승은 마을을 지키는 수호신으로 ‘당산’ 혹은 ‘벅수’라고도 한다. 순창 충신리 석장승은 거대한 사각의 자연석 한 면을 장승의 모습으로 다듬었다. 머리는 왼쪽으로 경사지도록 깎여 있고, 다른 장승과는 달리 눈이 작게 조각되어 있다. 세모난 콧날은 끝이 뭉툭하게 잘려져 있는데, 이는 장승의 코가 아들을 낳는데 효험이 있다는 민간신앙에 따라 아들 낳기를 원하는 마을 아낙들이 떼어간 것으로 보인다. 이마와 양 볼에 혹이 불거져 나왔는데, 이마에 새겨진 혹은 불상의 눈썹사이에 있는 백호(白毫)를 연상시킨다. 웃는 듯한 입 사이로 내민 혀의 모습이 소박하고 친근감을 느끼게 해준다. 보통 석장승에는 남장승과 여장승을 나타내는 이름이 새겨져 있는데, 충신리 장승에는 아무런 내용이 없다. 충신리 석장승은 애교스런 생김새와는 달리 남장승으로 전하고 있다. 조선시대에 세워진 것으로 보이는 이 장승은 마을을 수호하고 부정한 것을 막기 위한 주민들의 염원이 깃들어 있는 민속신앙 중 한나라 할 수 있다.

※ 순창군 충신리 대로변에 있던 석장승은 2004.12월 순창-남원간 도로변의 순창문화회관 뒤뜰에 순창 남계리 석장승(국가민속문화유산)과 함께 옮겨졌다."
230,국가민속문화유산,순창 남계리 석장승(淳昌 南溪里 石장승),전북 순창군,순창군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=23&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=01020000&ccbaCtcd=35&ccbaCpno=1483501020000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 민간신앙 / 마을신앙,1기,1979.01.26,전라북도 순창군 순창읍 남계리 966-12,조선시대,순창군,순창군,"순창읍 남계리에 있었던 석장승으로, 원래는 한 쌍으로 세워졌던 것으로 보인다. 남계리 석장승은 커다란 자연석을 앞부분만 조각하였다. 석장승은 전체적으로 살찌고 무거운 모습이며 옆으로 찢어진 가는 눈, 가늘고 손상된 코에 작은 입과 장난스럽게 혀를 조금 내민 모습을 하고 있다. 이마와 양 볼에 조각된 둥근 점은 연지 곤지를 찍은 모습을 연상케 하여 여장승으로도 보여진다. 제주도의 돌하루방처럼 표현된 양손은 손가락까지 뚜렷하다. 보통 장승이 얼굴 부분만 표현한 것과는 달리 손가락 등을 조각해서 사실적으로 나타낸 것이 특이하다. 남계리 석장승은 정확한 제작 연대는 알 수 없지만, 형식에 얽매이지 않고 토속적이고 민중적인 특색 잘 나타내고 있는 민속문화유산이다.

※ 순창읍 남계리에 있던 석장승은 2004.12월 순창-남원간 도로변의 순창문화회관 뒤뜰에 순창 충신리 석장승(국가민속문화유산)과 함께 옮겨졌다."
231,국가민속문화유산,이형 부인 동래정씨 의복(李泂 夫人 東萊鄭氏 衣服),전북 전주시,전주역사박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=24&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=01150000&ccbaCtcd=35&ccbaCpno=1483501150000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 생활공예 / 복식공예 / 의복,일괄(6점),1980.11.29,"전라북도 전주시 완산구 쑥고개로 259 (효자동2가, 전주역사박물관)",16세기 말,이＊＊＊,전주역사박물관,"전주이씨 고림군의 손자인 증좌찬성 이형의 부인인 동래정씨 의복은 1941년 경기도 시흥시 금불암 옆의 동래정씨묘를 임실군 둔남면 대정리 종산에 옮길 때 관속의 옷함에서 발견된 것들이다.

유물은 백목면누비치마 1점, 명주누비치마 2점, 명주누비직령포 1점, 내친상 2점이다. 이형 부인 동래정시의 의복은 착용연대가 임진왜란 전으로 직령포의 동정 너비가 4㎝밖에 안되어 그 시기의 포 중에서도 동정이 가장 좁다. 이것은 정씨부인이 한양에 살고 있었고 왕족이었기 때문에 여타지방의 반가에 비하여 변화의 유형이 다소 앞선 때문이 아닌가 추측된다. 특이한 것은 내친고가 있다는 것인데, 이것은 속치마의 일종으로 앞은 통으로 되고, 뒤의 엉덩이선 이하가 터져 있다. 광주 김덕령의 조카며느리 옷에서도 발견된다.

이형 부인 동래정씨가 선조 16년(1583)에 사망하였으므로 이 옷들은 임진왜란이 일어나기 전의 복식이지만 오랜 세월이 지나는 동안에도 상한 곳이 거의 없어서 의복의 변천과정 연구에 귀중한 자료이다."
232,국가민속문화유산,남원 몽심재 고택(南原 夢心齋 古宅),전북 남원시,재＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=24&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=01490000&ccbaCtcd=35&ccbaCpno=1483501490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 주거생활 / 주거건축 / 가옥,"6필지/2,422㎡",1984.01.14,전북 남원시 수지면 내호곡2길 19 (호곡리),조선 숙종 26년(1700),재단법인 원불교,재＊＊＊,"지리산 서쪽 기슭에 자리잡고 있는 조선시대 후기의 집으로 박연당(1753∼1830)이 세웠다고 한다. 산골짜기에 자리잡고 있으나, 주변에 넓은 들이 있어서 그리 척박하지는 않다. 집은 트인 ㅁ자형으로 경사진 곳에 사랑채와 중문채의 높이를 서로 다르게 하여 배치하였다.

솟을대문이 우뚝 선 대문채는 서쪽칸에 마루를 깔았고, 동쪽에는 방 2칸과 마루 1칸이 있다. 대문간채의 동쪽에는 연당이 있고, 북쪽에는 4칸의 행랑채가 있다.

행랑채의 북쪽, 높이 쌓은 대 위에 사랑채가 있다. 서쪽부터 4칸은 방이고 다섯째칸은 마루방이며, 둘째칸에는 아궁이가 설치되어 있다. 셋째칸에는 ‘몽심재’라는 현판이 걸려있으며, 기둥은 팔각형으로 다듬었다. 셋째와 넷째칸에서 기둥 밖으로 쪽마루를 연장시킨 것이 특이하다. 사랑채의 동쪽에는 3칸의 중문채가 있는데 가운데칸에 문이 달려있고, 문 앞에 돌층계가 설치되어 있다.

안채는 사랑채의 북쪽에 있으며 방과 대청을 중심으로 서쪽에는 2칸의 부엌이 있는데 1칸은 방이다. 방의 서쪽에는 1칸의 툇마루가 있다. 이 부분이 서쪽 날개에 해당된다. 동쪽 날개에는 2칸의 대청이 있으며, 그 옆으로 마루를 깐 방이 있고, 그 아래 방이 1칸 있다. 맨 밑에는 아궁이가 있는 아랫층과 다락처럼 구성한 2층으로 되어 있었다.

대청 앞쪽에는 문을 설치하였는데, 이것을 통해서 이 지역에도 대청 앞쪽을 폐쇄하는 유형이 분포되어 있음을 보여주는 좋은 사례가 되는 건물이다.

※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
233,국가민속문화유산,부안 김상만 고택(扶安 金相萬 古宅),전북 부안군,부안군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=24&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=01500000&ccbaCtcd=35&ccbaCpno=1483501500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 주거생활 / 주거건축 / 가옥,"12필지/ 지정구역 1,224㎡, 보호구역 1,083㎡",1984.01.14,전북 부안군 줄포면 교하길 8 (줄포리),조선 고종 32년(1895),재단법인 인촌기념회,부안군,"김상만 고택은 이 지역의 부자인 김기중(金褀中)이 1895년(조선 고종 32년)에 안채, 사랑채, 헛간채를 짓고 1903년(광무 7년)에 안사랑채와 곳간채를 지었다.

그 후 1984년 대문채를 복원하여 현재와 같이 ""ㅁ""자형 공간구성을 하고 있다.

지붕은 초창자의 부에 맞지 않게 안채, 사랑채, 대문채 등이 모두 초가로 되어 있는데 당시 혼란한 사회에서 소박하게 보이기 위해서 초가로 한 것으로 보이며, 이 지역에서 나는 천연재료인 샛대로 지붕을 이었다는 설도 있다.

부재를 보면 초가 대신 기왓장만 올려도 완연한 기와집으로 보일 정도로 반듯하여 당시 부잣집의 품격을 그대로 갖추고 있다.

이 고택은 부안, 고창 지방의 특색을 잘 나타내고 있으며 해안지방에서만 볼 수 있는 수법을 사용하고 있어 국가민속문화유산으로서의 보존가치가 매우 높은 것으로 평가되고 있다.

한편, 동아일보 창립자인 김성수(1891~1955)가 어린 시절을 이 고택에서 보냈다고 하며, 김성수는 「일제강점하 반민족행위 진상규명에 관한 특별법」에 따른 친일반민족행위진상규명 보고서에 포함된 인물이다.

※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
234,국가민속문화유산,순창 성황대신 사적 현판(淳昌 城隍大神 事跡 懸板),전북 순창군,순창군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=24&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=18&ccbaAsno=02380000&ccbaCtcd=35&ccbaCpno=1483502380000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 서각류 / 목판각류 / 현판류,1점,2000.01.13,"전북 순창군 순창읍 장류로 43, 순창장류박물관 (백산리)",조선 영조19년(1743),순창군,순창군,"순창 성황대신 사적 현판은 성황신을 섬기던 기록을 적은 현판이다. 현판은 널빤지와 종이·비단에 글씨 또는그림을 그려 거는 것인데, 조선 명종때 제작된 원래의 현판은 남아 있지 않고 영조때에 다시 새긴 현판만이 남아 있다.

가로로 길쭉한 목판으로 나무 결이 그대로 살아 있으며, 위·아래 2개의 판을 이어붙여 하나로 만들었다. 가로 180㎝, 세로 54㎝ 목판에 총 73행, 1,600여자가 세로로 쓰여졌으며, 내용은 고려 충렬왕 7년(1281)부터 조선 순조 23년(1823)까지 성황신에게 작호를 부여했던 것부터 성황당을 고쳐 세웠던 것까지의 상황을 기록한 것이다. 하단부는 글씨체가 상단부와 확연히 다른 것으로 보아 나중에 추가된 것으로 보인다.

문헌에 따르면 영조 19년(1743)에 만든 것으로 후에 영조 30년(1754)과 순조 23년(1823)에 추가로 새겨 제작된 것이다. 현재 각 지방에서 마을 공동으로 성황신에게 제사를 지내는 것을 기록한 것으로 성황신앙의 역사상 변천과정을 볼 수 있다는 점에서 민속자료로 커다란 가치가 있다."
